date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:43	67934/67934	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2019:33:06%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/shop/shop_details_img03.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/shop/shop_details_img03.jpg	(from https://themebeyond.com/html/agrifram/agrifram/shop-details.html)
16:36:44	50486/50486	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2019:33:48%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/shop/shop_details_img04.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/shop/shop_details_img04.jpg	(from https://themebeyond.com/html/agrifram/agrifram/shop-details.html)
16:36:44	10522/10522	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2019:34:26%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom01.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom01.jpg	(from https://themebeyond.com/html/agrifram/agrifram/shop-details.html)
16:36:45	8431/8431	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2019:34:34%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom02.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom02.jpg	(from https://themebeyond.com/html/agrifram/agrifram/shop-details.html)
16:36:46	8279/8279	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2019:34:42%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom03.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom03.jpg	(from https://themebeyond.com/html/agrifram/agrifram/shop-details.html)
16:36:47	7612/7612	---M--	200	added ('OK')	image/jpeg	date:Sat,%2020%20Jun%202020%2019:34:50%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom04.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/shop/sd_bottom04.jpg	(from https://themebeyond.com/html/agrifram/agrifram/shop-details.html)
16:36:48	740147/740147	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2018:31:48%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/bg/breadcrumb_bg04.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/bg/breadcrumb_bg04.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog.html)
16:36:49	150105/150105	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2018:29:14%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/blog_thumb01.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/blog_thumb01.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog.html)
16:36:49	269519/269519	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2018:29:24%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/blog_thumb02.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/blog_thumb02.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog.html)
16:36:51	271833/271833	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2018:29:36%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/blog_thumb03.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/blog_thumb03.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog.html)
16:36:51	9994/9994	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2023:06:24%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/rc_post_thumb01.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/rc_post_thumb01.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog.html)
16:36:52	6957/6957	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2023:06:24%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/rc_post_thumb02.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/rc_post_thumb02.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog.html)
16:36:52	10736/10736	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2023:06:24%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/rc_post_thumb03.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/rc_post_thumb03.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog.html)
16:36:53	119135/119135	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2021:01:36%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/blog_details_img01.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/blog_details_img01.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog-details.html)
16:36:54	118577/118577	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2021:01:42%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/blog_details_img02.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/blog_details_img02.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog-details.html)
16:36:55	30254/30254	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jun%202020%2022:40:12%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/post_avatar_img.png	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/post_avatar_img.png	(from https://themebeyond.com/html/agrifram/agrifram/blog-details.html)
16:36:56	11052/11052	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2022:46:56%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/comment_avatar01.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/comment_avatar01.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog-details.html)
16:36:56	12281/12281	---M--	200	added ('OK')	image/jpeg	date:Tue,%2023%20Jun%202020%2022:47:00%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/blog/comment_avatar02.jpg	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/blog/comment_avatar02.jpg	(from https://themebeyond.com/html/agrifram/agrifram/blog-details.html)
16:36:57	1144/1144	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202020%2001:18:02%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/icon/contact_icon01.png	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/icon/contact_icon01.png	(from https://themebeyond.com/html/agrifram/agrifram/contact.html)
16:36:57	845/845	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202020%2001:18:02%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/icon/contact_icon02.png	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/icon/contact_icon02.png	(from https://themebeyond.com/html/agrifram/agrifram/contact.html)
16:36:57	752/752	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Jun%202020%2001:18:16%20GMT	https://themebeyond.com/html/agrifram/agrifram/img/icon/contact_icon03.png	C:/Users/ritik/OneDrive/Desktop/B.E%20Project/SmartAgri/Smart-Agri/themebeyond.com/html/agrifram/agrifram/img/icon/contact_icon03.png	(from https://themebeyond.com/html/agrifram/agrifram/contact.html)
